fecha,demanda_total_kwh,demanda_regulada_kwh,demanda_no_regulada_kwh,perdidas_total_kwh,perdidas_regulada_kwh,perdidas_no_regulada_kwh,consumo_facturado_calendarizado_total_kwh,consumo_facturado_mensual_kwh,consumo_facturado_trimestral_kwh,consumo_facturado_irregular_kwh,registros_facturacion_activos,dia_semana,es_fin_de_semana,mes,dia_del_ano,cobertura_calendarizacion_completa
2025-01-01,2308917.170000,2104531.140000,204386.030000,35472.050000,31815.960000,3656.090000,2261558.036466,1888872.216093,372662.153706,23.666667,568545,2,0,1,1,1
2025-01-02,2632251.850000,2392960.290000,239291.560000,35334.910000,31832.650000,3502.260000,2263100.380426,1888872.216093,374204.497666,23.666667,569713,3,0,1,2,1
2025-01-03,2696044.410000,2459318.890000,236725.520000,39481.300000,35754.190000,3727.110000,2264490.022349,1888872.216093,375594.139589,23.666667,570628,4,0,1,3,1
2025-01-04,2621651.970000,2390634.890000,231017.080000,42070.070000,38039.510000,4030.560000,2265489.888184,1888872.216093,376617.672090,0.000000,571320,5,1,1,4,1
2025-01-05,2435310.670000,2221732.930000,213577.740000,35041.730000,31693.710000,3348.020000,2265597.995382,1888872.216093,376725.779289,0.000000,571737,6,1,1,5,1
2025-01-06,2462237.900000,2229919.430000,232318.470000,30041.190000,26861.050000,3180.140000,2240161.852905,1888872.216093,351289.636812,0.000000,554892,0,0,1,6,1
2025-01-07,2653931.760000,2413032.970000,240898.790000,30263.110000,27302.610000,2960.500000,2239894.933857,1888872.216093,351022.717764,0.000000,555237,1,0,1,7,1
2025-01-08,2712162.590000,2471196.340000,240966.250000,32700.790000,29535.150000,3165.640000,2240210.111273,1888872.216093,351337.895179,0.000000,556062,2,0,1,8,1
2025-01-09,2719317.740000,2481852.790000,237464.950000,38195.970000,34626.510000,3569.460000,2241892.408397,1888867.501808,353024.906589,0.000000,557002,3,0,1,9,1
2025-01-10,2726094.850000,2481656.220000,244438.630000,48361.050000,43928.520000,4432.530000,2240581.348278,1885082.032242,355499.316035,0.000000,558300,4,0,1,10,1
2025-01-11,2625532.640000,2395112.870000,230419.770000,34564.710000,31289.530000,3275.180000,2247197.227136,1885071.750503,362125.476633,0.000000,561968,5,1,1,11,1
2025-01-12,2429513.670000,2203953.910000,225559.760000,28997.890000,25818.900000,3178.990000,2244859.473244,1880622.518249,364236.954996,0.000000,563166,6,1,1,12,1
2025-01-13,2728351.560000,2477537.860000,250813.700000,34641.230000,31234.500000,3406.730000,2246553.369151,1880622.518249,365930.850903,0.000000,564471,0,0,1,13,1
2025-01-14,2759225.730000,2498243.850000,260981.880000,35344.520000,31594.660000,3749.860000,2242767.004660,1880605.982534,362161.022126,0.000000,561323,1,0,1,14,1
2025-01-15,2809569.710000,2535663.370000,273906.340000,31987.260000,28428.650000,3558.610000,2244421.571109,1880559.592015,363861.979094,0.000000,562484,2,0,1,15,1
2025-01-16,2810551.050000,2537000.320000,273550.730000,37853.810000,33810.530000,4043.280000,2246483.677909,1880485.671401,365998.006509,0.000000,563614,3,0,1,16,1
2025-01-17,2767223.540000,2501918.910000,265304.630000,39818.880000,35736.460000,4082.420000,2245474.191624,1878474.923185,366999.268440,0.000000,565434,4,0,1,17,1
2025-01-18,2647330.990000,2405871.790000,241459.200000,33052.690000,29756.470000,3296.220000,2249778.974247,1881893.534677,367885.439570,0.000000,567088,5,1,1,18,1
2025-01-19,2434714.130000,2205945.320000,228768.810000,28512.690000,25523.980000,2988.710000,2261748.126808,1892658.937113,369089.189695,0.000000,568668,6,1,1,19,1
2025-01-20,2724067.400000,2474272.180000,249795.220000,40280.640000,36290.000000,3990.640000,2250611.920164,1880913.679586,369698.240577,0.000000,569056,0,0,1,20,1
2025-01-21,2768344.880000,2513982.130000,254362.750000,33302.040000,29871.930000,3430.110000,2298705.186019,1928366.925705,370338.260314,0.000000,572433,1,0,1,21,1
2025-01-22,2752608.970000,2484709.970000,267899.000000,34698.570000,30950.690000,3747.880000,2306820.165562,1938155.038415,368665.127147,0.000000,573193,2,0,1,22,1
2025-01-23,2682675.820000,2403021.370000,279654.450000,40469.350000,35921.570000,4547.780000,2335553.679731,1967190.507169,368363.172562,0.000000,576166,3,0,1,23,1
2025-01-24,2759703.590000,2488872.020000,270831.570000,46194.460000,41389.760000,4804.700000,2096227.925984,1727908.077640,368319.848344,0.000000,572146,4,0,1,24,1
2025-01-25,2649945.130000,2409991.700000,239953.430000,38828.790000,35140.140000,3688.650000,2103797.846624,1735530.167512,368267.679112,0.000000,572344,5,1,1,25,1
2025-01-26,2402984.110000,2174900.310000,228083.800000,29127.540000,25957.970000,3169.570000,2089123.286567,1720893.456508,368229.830059,0.000000,568564,6,1,1,26,1
2025-01-27,2731942.820000,2476054.890000,255887.930000,46915.590000,42392.420000,4523.170000,2085479.394494,1717274.557220,368204.837274,0.000000,567465,0,0,1,27,1
2025-01-28,2769213.860000,2498403.330000,270810.530000,35339.910000,31589.270000,3750.640000,2083498.795720,1715298.756426,368200.039294,0.000000,566913,1,0,1,28,1
2025-01-29,2787614.390000,2510882.850000,276731.540000,33875.060000,30097.000000,3778.060000,2083374.270945,1715174.231651,368200.039294,0.000000,566905,2,0,1,29,1
2025-01-30,2786030.660000,2510018.060000,276012.600000,34726.290000,30964.450000,3761.840000,2083374.270945,1715174.231651,368200.039294,0.000000,566905,3,0,1,30,1
2025-01-31,2804927.320000,2525148.120000,279779.200000,36589.080000,32680.420000,3908.660000,2083374.270945,1715174.231651,368200.039294,0.000000,566905,4,0,1,31,1
2025-02-01,2665812.920000,2411484.480000,254328.440000,34988.340000,31186.140000,3802.200000,2083340.870945,1715174.231651,368166.639294,0.000000,566890,5,1,2,32,1
2025-02-02,2469861.130000,2238643.800000,231217.330000,33245.470000,29743.910000,3501.560000,2325921.389464,1957754.750170,368166.639294,0.000000,567178,6,1,2,33,1
2025-02-03,2783584.560000,2526562.070000,257022.490000,40186.320000,36264.980000,3921.340000,2325921.389464,1957754.750170,368166.639294,0.000000,567178,0,0,2,34,1
